序列,title,rate,style1,style2,h-0,s-0,v-0,percent-0,hex-0,percent-1,hex-1,percent-2,hex-2,percent-3,hex-3,percent-4,hex-4,pic,url
30,追捕,8.2,剧情,犯罪,10,30,6,0.386713287,#0F0B0A,0.32,#FDFDF7,0.132797203,#4A362F,0.093426573,#D6C6A9,0.067062937,#AC7053,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2198650728.jpg,https://movie.douban.com/subject/1291863/
31,我的机器人女友,7.4,喜剧,爱情,11,15,6,0.356713287,#0E0C0C,0.242377622,#EFE2E9,0.177832168,#BF8572,0.127552448,#841F17,0.095524476,#461C16,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p637412789.jpg,https://movie.douban.com/subject/1978369/
32,麦秋,8.8,剧情,家庭,11,42,32,0.292797203,#51352F,0.274475524,#E1DAB4,0.150979021,#A1886A,0.146503497,#F7C060,0.135244755,#DE7849,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1994510596.jpg,https://movie.douban.com/subject/1401842/
33,地下幻灯剧画 少女椿,7.7,剧情,动画,11,47,36,0.385174825,#5B3830,0.223006993,#E69168,0.197062937,#7D4938,0.174965035,#B26F55,0.01979021,#F5E4D7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1056298162.jpg,https://movie.douban.com/subject/1963131/
34,异邦人：无皇刃谭,8.4,动作,动画,12,50,25,0.355454545,#3F2620,0.268041958,#783323,0.251468531,#BE482E,0.073566434,#B47862,0.051468531,#E4D6CF,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456836953.jpg,https://movie.douban.com/subject/2277204/
35,百万元与苦虫女,7.9,剧情,,13,0,98,0.32013986,#FAFAFA,0.240979021,#D8CFD1,0.189160839,#A19E9F,0.138951049,#D89CAD,0.110769231,#60625F,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p699101890.jpg,https://movie.douban.com/subject/2157504/
36,其后,8.6,剧情,,13,24,67,0.320559441,#AA8B82,0.223286713,#F9F9F8,0.202167832,#84655F,0.201328671,#CEC3B9,0.052657343,#2F2322,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1859987414.jpg,https://movie.douban.com/subject/1294580/
37,茶之味,8.2,剧情,喜剧,13,34,34,0.244055944,#563F39,0.224055944,#CABC96,0.215104895,#97796A,0.169090909,#BEBDC2,0.147692308,#1C1414,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661324770.jpg,https://movie.douban.com/subject/1309079/
38,永远的三丁目的夕阳2,8.7,剧情,,13,78,87,0.400629371,#DD5531,0.187902098,#9C5538,0.183496503,#DC964B,0.116223776,#DABA89,0.111748252,#4B2224,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1011704039.jpg,https://movie.douban.com/subject/1980825/
39,恋空,6.9,剧情,爱情,14,4,98,0.383846154,#F9F2F0,0.21020979,#DB9987,0.156923077,#EACAAE,0.146153846,#322D29,0.102867133,#7A655C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p634019904.jpg,https://movie.douban.com/subject/3003830/
40,平安结祈,9.7,音乐,,14,13,8,0.607412587,#151312,0.19958042,#111E17,0.081608392,#625A5A,0.069090909,#E9EAE9,0.042307692,#D03410,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1407592064.jpg,https://movie.douban.com/subject/10461367/
41,他人之颜,8.3,剧情,科幻,11,16,49,0.314929577,#7E6E6A,0.200211268,#272323,0.180492958,#A58F87,0.16584507,#D0C4B7,0.138521127,#514644,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2204703177.jpg,https://movie.douban.com/subject/1432779/
42,了不起的亡灵,7.7,喜剧,喜剧,14,61,40,0.323566434,#673628,0.263146853,#261F1E,0.252587413,#8E5D3A,0.095664336,#C69A60,0.065034965,#C4B8AF,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2328523501.jpg,https://movie.douban.com/subject/4885995/
43,蜡笔小新之呼风唤雨！夕阳下的春日部男孩,8.8,动画,动画,14,80,83,0.307202797,#D3512A,0.228391608,#5A2D25,0.188321678,#AB875C,0.17013986,#DBA740,0.105944056,#64476F,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2435714673.jpg,https://movie.douban.com/subject/1962611/
44,无人知晓,9,剧情,,15,41,65,0.402097902,#A47261,0.213356643,#4D4C54,0.167692308,#666B79,0.133216783,#E4DDD6,0.083636364,#BBA499,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,https://movie.douban.com/subject/1292337/
45,空之境界 第二章 杀人考察（前）,8.7,动画,,15,44,31,0.396223776,#4E342C,0.196153846,#8F5441,0.184615385,#160B13,0.111748252,#F8F6F1,0.111258741,#A89480,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2192136839.jpg,https://movie.douban.com/subject/2354900/
46,魔女宅急便,8.5,动画,冒险,15,49,26,0.420909091,#432A22,0.208111888,#653C2E,0.148321678,#905139,0.132027972,#6C5043,0.090629371,#A0785E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg,https://movie.douban.com/subject/1307811/
47,海贼王剧场版9：冬季绽放的奇迹之樱,8.6,剧情,动画,16,10,75,0.316783217,#BFB1AC,0.25048951,#766367,0.247412587,#271F20,0.127272727,#F1F1F0,0.058041958,#C64A2B,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p724327181.jpg,https://movie.douban.com/subject/3017508/
48,小小的家,8.1,剧情,爱情,16,80,91,0.470979021,#E75F2E,0.158391608,#C16347,0.157482517,#E1C1A8,0.10993007,#886A52,0.103216783,#3B241E,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2176712029.jpg,https://movie.douban.com/subject/20389706/
49,扶桑花女孩,8,剧情,喜剧,17,3,95,0.313286713,#F3EFED,0.254405594,#56C6F1,0.192867133,#D87BB6,0.168251748,#D79067,0.071188811,#4C2D29,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1079104581.jpg,https://movie.douban.com/subject/1788940/
50,福音战士新剧场版：序,9.1,剧情,动画,46,2,86,0.403642857,#DBDAD7,0.216785714,#BBB1AD,0.161071429,#7E7E83,0.156071429,#464443,0.156071429,#464443,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2411110730.jpg,https://movie.douban.com/subject/1968790/
51,千与千寻,9.3,剧情,动画,17,44,10,0.303706294,#1B120F,0.267622378,#4E3323,0.156153846,#8B6E56,0.153356643,#B54A37,0.119160839,#DBC0A3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1606727862.jpg,https://movie.douban.com/subject/1291561/
52,真幌站前狂想曲,7.6,剧情,,17,49,14,0.278531469,#241812,0.248881119,#5F412C,0.214405594,#A97845,0.205384615,#BFAB92,0.052797203,#BD0F18,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194199028.jpg,https://movie.douban.com/subject/25798854/
53,楢山节考,8.7,剧情,,18,5,31,0.345104895,#4F4D4B,0.283916084,#292727,0.175034965,#777574,0.133146853,#B4B3B2,0.062797203,#7A523B,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192953270.jpg,https://movie.douban.com/subject/1294737/
54,恶童,8.6,动作,动画,18,28,40,0.318881119,#67524A,0.242867133,#A5BECE,0.210699301,#A99B89,0.144615385,#C18657,0.082937063,#1B1B1B,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456777022.jpg,https://movie.douban.com/subject/1848925/
55,乱云,8.5,剧情,,18,62,61,0.308951049,#9B583B,0.216853147,#462D27,0.20986014,#CB8450,0.205524476,#D9AC80,0.058811189,#C8B9B4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2319853826.jpg,https://movie.douban.com/subject/1302082/
56,恋爱回旋,7.2,喜剧,喜剧,19,11,94,0.354615385,#F0DFD7,0.31993007,#E7B7A2,0.148881119,#3D272A,0.093076923,#966D63,0.083496503,#CD6C7A,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2515437624.jpg,https://movie.douban.com/subject/26972275/
57,少女革命：思春期默示录,8.6,剧情,动画,19,15,9,0.356433566,#171514,0.237272727,#B99AB2,0.182867133,#4E3448,0.136293706,#B97C5A,0.087132867,#C54D6D,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p454086622.jpg,https://movie.douban.com/subject/1417956/
58,花开伊吕波剧场版：甜蜜的家,8.5,剧情,动画,19,45,20,0.294615385,#34241D,0.27972028,#6D4435,0.192167832,#BB9163,0.11958042,#E2DFD1,0.113916084,#8F93AE,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2065644062.jpg,https://movie.douban.com/subject/10759861/
59,金色梦乡,8.5,剧情,悬疑,19,84,75,0.245384615,#C0511E,0.22979021,#84492A,0.215874126,#D79C56,0.156993007,#E0CECF,0.151958042,#2D2319,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2208009845.jpg,https://movie.douban.com/subject/3660428/
60,最终幻想女孩,7.5,爱情,爱情,20,1,96,0.35006993,#F4F3F3,0.337902098,#211D1C,0.155104895,#D99F86,0.113986014,#776A66,0.042937063,#CE2735,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2497090967.jpg,https://movie.douban.com/subject/26946450/
61,意外的幸运签,8.2,剧情,动画,20,1,98,0.447762238,#F9F8F8,0.314335664,#E9E7E9,0.107482517,#D8BFCB,0.084475524,#1A1C22,0.045944056,#757580,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p628018540.jpg,https://movie.douban.com/subject/4934987/
62,野良犬,8.2,剧情,犯罪,20,12,68,0.4,#AD9E97,0.193776224,#B1A39B,0.136923077,#B5A69E,0.136013986,#B5A69E,0.133286713,#B7A79F,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169179574.jpg,https://movie.douban.com/subject/1293107/
63,东京教父,8.8,剧情,动画,20,26,23,0.313916084,#3A302B,0.280839161,#684034,0.237972028,#9A4835,0.109020979,#C08B56,0.058251748,#D2CBC2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.jpg,https://movie.douban.com/subject/1310177/
64,名侦探柯南：世纪末的魔术师,8.4,喜剧,动画,20,49,76,0.26006993,#C38464,0.236363636,#39548D,0.221888112,#282226,0.217832168,#A3A8BB,0.063846154,#CEB73A,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453729256.jpg,https://movie.douban.com/subject/2279152/
65,迪迦奥特曼最终圣战,8.4,动作,科幻,20,59,81,0.327972028,#CE7C54,0.275804196,#9D5F55,0.166153846,#D3C2B2,0.160839161,#4F4149,0.069230769,#D01B3A,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2385140076.jpg,https://movie.douban.com/subject/3321892/
66,哆啦A梦：大雄的太阳王传说,8.1,科幻,动画,21,11,82,0.254685315,#D1C2BA,0.233706294,#3F7FBA,0.222237762,#463A38,0.185104895,#BD5B4D,0.104265734,#C1AB40,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2520702689.jpg,https://movie.douban.com/subject/1458908/
67,永远的三丁目的夕阳,8.8,剧情,家庭,21,62,82,0.287272727,#D07C50,0.226083916,#E8AB56,0.175174825,#685740,0.163706294,#F1DD60,0.147762238,#D4BF86,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517414566.jpg,https://movie.douban.com/subject/1463224/
68,食梦者,7.7,喜剧,喜剧,22,3,92,0.309160839,#ECE7E5,0.294545455,#AB9492,0.209440559,#44373A,0.124615385,#4A547B,0.062237762,#E8B941,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2253403387.jpg,https://movie.douban.com/subject/25880986/
69,啊，荒野 后篇,8.4,剧情,,22,10,11,0.331608392,#1C1B1A,0.237062937,#4C5150,0.215384615,#F2F3F2,0.146783217,#A9A7A4,0.069160839,#815B42,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2500978171.jpg,https://movie.douban.com/subject/27030639/
70,剑风传奇 黄金时代篇2：多尔多雷攻略,8.6,剧情,动画,22,10,82,0.288181818,#D0C3BB,0.222027972,#29181A,0.205034965,#81635E,0.188461538,#5C1F1A,0.096293706,#A42628,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1464669835.jpg,https://movie.douban.com/subject/7051373/
71,蜡笔小新 呼风唤雨！战国大合战,8.5,动画,动画,22,17,87,0.355594406,#DEC7BA,0.252307692,#555F7E,0.202447552,#C86750,0.111258741,#EEC92A,0.078391608,#7DA547,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509871425.jpg,https://movie.douban.com/subject/3055303/
72,海贼王剧场版Z,8.5,动作,动画,22,48,58,0.282797203,#95684E,0.268671329,#CCC4C0,0.19013986,#39332D,0.166573427,#C44132,0.091818182,#CAAA50,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1790937541.jpg,https://movie.douban.com/subject/10467125/
73,五个扑水的少年,8.4,喜剧,喜剧,22,60,75,0.428601399,#BF764C,0.148461538,#CABAAE,0.148321678,#5D85AC,0.141118881,#1E1E27,0.133496503,#794E41,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p958191439.jpg,https://movie.douban.com/subject/1301359/
74,蜡笔小新之呼风唤雨！大人帝国的反击,9.1,喜剧,动画,23,20,83,0.263146853,#D4B9A9,0.196713287,#CE5B44,0.188111888,#E2C04B,0.184545455,#575478,0.167482517,#809053,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2327107485.jpg,https://movie.douban.com/subject/1958667/
75,女人步上楼梯时,9.1,剧情,,23,30,47,0.247762238,#796254,0.232027972,#4E3735,0.194335664,#151119,0.191678322,#DBCFBE,0.134195804,#B97C5C,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1805354637.jpg,https://movie.douban.com/subject/1419479/
76,七武士,9.2,剧情,冒险,23,47,24,0.284405594,#3E2C20,0.262307692,#8D784D,0.234545455,#CB9F57,0.162027972,#9F5434,0.056713287,#C8BCBE,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p647099823.jpg,https://movie.douban.com/subject/1295399/
77,穿越时空的思念,8.3,动作,动画,24,5,81,0.26,#CFC9C5,0.20958042,#AA9978,0.204335664,#9098A6,0.17013986,#BB523D,0.155944056,#49423B,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2517464938.jpg,https://movie.douban.com/subject/1464449/
78,爱的曝光,8.2,剧情,爱情,24,18,16,0.259300699,#2A2522,0.254335664,#7D634E,0.172237762,#E24029,0.167762238,#798384,0.146363636,#CBC2B4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p575424244.jpg,https://movie.douban.com/subject/2361266/
79,数码宝贝大电影二：我们的战争游戏,8.8,科幻,动画,24,69,85,0.255454545,#DA7E42,0.244615385,#DFD8D4,0.227692308,#7F6B38,0.138951049,#361F18,0.133286713,#697192,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2282580779.jpg,https://movie.douban.com/subject/4216624/
80,剧场版魔法少女小圆 前篇 起始的故事,8.7,动画,动画,25,2,95,0.334055944,#F2EEEC,0.235664336,#B9ABA3,0.176223776,#D7A847,0.134545455,#965E2C,0.11951049,#4C2D29,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1634119717.jpg,https://movie.douban.com/subject/10174444/
81,人造天堂,8.3,剧情,,25,23,88,0.312377622,#E0C2AD,0.265034965,#D3AE93,0.224685315,#AE8874,0.114335664,#BB594D,0.083566434,#413830,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1709502996.jpg,https://movie.douban.com/subject/1306522/
82,名侦探柯南：漆黑的追踪者,7.3,动画,动画,25,35,20,0.317972028,#342922,0.276013986,#725948,0.206993007,#C7AE93,0.118181818,#CB6732,0.080839161,#755DA9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453744999.jpg,https://movie.douban.com/subject/3387546/
83,丈夫得了抑郁症,8.1,剧情,爱情,27,3,97,0.37034965,#F8F4F1,0.250559441,#C7A590,0.167552448,#963B27,0.152797203,#553329,0.058741259,#C34B85,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1156829401.jpg,https://movie.douban.com/subject/5968334/
84,娜美篇 航海士的眼泪与牵绊,8.5,动画,动画,27,7,91,0.314195804,#E8DFD8,0.268181818,#C18F63,0.181048951,#7582C6,0.128671329,#272341,0.107902098,#5C7D64,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2300510382.jpg,https://movie.douban.com/subject/11636325/
85,蜡笔小新：超级美味B级美食大逃亡,7.8,动画,动画,27,17,81,0.263636364,#CFBBAB,0.257762238,#57423C,0.228041958,#BEB257,0.127902098,#C34B38,0.122657343,#5680A8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2345414490.jpg,https://movie.douban.com/subject/20438548/
86,鲁邦三世：卡里奥斯特罗城,8.1,爱情,动画,27,47,60,0.289090909,#987151,0.214475524,#C7C9CA,0.20979021,#303334,0.170559441,#3B9189,0.116083916,#153969,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446259907.jpg,https://movie.douban.com/subject/1432436/
87,狗狗与我的十个约定,8,剧情,爱情,28,2,93,0.306853147,#EDEAE8,0.230979021,#D3C2BD,0.230769231,#A98063,0.133706294,#EDD5B3,0.097692308,#54392F,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1093145688.jpg,https://movie.douban.com/subject/2976111/
88,雨月物语,8.5,剧情,喜剧,28,15,47,0.262867133,#776E66,0.218671329,#AAA198,0.186923077,#D3CCC5,0.167622378,#4F4741,0.163916084,#0C0A08,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2300697285.jpg,https://movie.douban.com/subject/1303577/
89,宛如阿修罗,8.2,剧情,喜剧,28,25,7,0.482377622,#13100E,0.196573427,#341D18,0.131258741,#695043,0.123776224,#B6927A,0.066013986,#D8D1CE,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2451076258.jpg,https://movie.douban.com/subject/1292340/
90,幸福的黄手帕,8.1,剧情,喜剧,28,32,50,0.357482517,#7F6956,0.253636364,#96C6EB,0.182657343,#472D22,0.160559441,#C4BAAE,0.045664336,#E0BD45,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1864688186.jpg,https://movie.douban.com/subject/1305294/
91,家族之苦,8.1,喜剧,家庭,28,38,86,0.36,#DCAF87,0.232447552,#F6ECE0,0.224405594,#F2A118,0.10958042,#33251E,0.073566434,#D63625,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2364502659.jpg,https://movie.douban.com/subject/26020796/
92,同栖生活,7.7,剧情,,28,59,10,0.356573427,#1A120B,0.262587413,#4B3A1C,0.144335664,#988735,0.125244755,#874014,0.111258741,#D2C6A4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p564006141.jpg,https://movie.douban.com/subject/3986152/
93,哆啦A梦：大雄的阿拉伯之夜,8.4,科幻,动画,29,15,18,0.26979021,#2E2B28,0.261398601,#A97E53,0.224195804,#AA4335,0.159370629,#BECBD5,0.085244755,#9C6C99,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2520701413.jpg,https://movie.douban.com/subject/1458899/
94,蜘蛛巢城,8.5,剧情,动作,29,20,19,0.339370629,#302B26,0.276223776,#BDBCB1,0.187202797,#65695F,0.13986014,#8E6E50,0.057342657,#D8DA40,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p647422117.jpg,https://movie.douban.com/subject/1294827/
