序列,title,rate,style1,style2,h-0,s-0,v-0,percent-0,hex-0,percent-1,hex-1,percent-2,hex-2,percent-3,hex-3,percent-4,hex-4,pic,url
37,王牌对王牌,8.4,"犯罪
",悬疑,11,84,14,0.32041958,#230B05,0.278951049,#F9F8F7,0.220559441,#F20608,0.116083916,#780F10,0.063986014,#A19995,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1971419890.jpg,https://movie.douban.com/subject/1293434/
38,末路狂花,8.7,"剧情
",犯罪,12,72,71,0.265454545,#B64E33,0.215734266,#D9D7DA,0.188251748,#7E8BB0,0.166573427,#45221D,0.163986014,#223564,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p794583044.jpg,https://movie.douban.com/subject/1291992/
39,初恋这首情歌,8.3,"音乐
",爱情,13,18,5,0.425034965,#0C0A0A,0.289370629,#59B5A2,0.137552448,#53473D,0.101888112,#E1C8B7,0.046153846,#D09223,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2312765873.jpg,https://movie.douban.com/subject/25855071/
40,楚门的世界,9.1,"剧情
",科幻,13,66,70,0.242307692,#B4573D,0.205804196,#472C26,0.20013986,#D3A69F,0.178111888,#84A1CE,0.173636364,#455DC0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,https://movie.douban.com/subject/1292064/
41,迷魂记,8.5,"悬疑
",惊悚,13,84,82,0.373776224,#D04821,0.238951049,#F4F1E1,0.172587413,#C36141,0.133286713,#D59F85,0.081398601,#532419,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1275145214.jpg,https://movie.douban.com/subject/1297294/
42,东方快车谋杀案,8.3,"悬疑
",犯罪,14,32,4,0.465874126,#0A0807,0.183356643,#C4A364,0.166433566,#F9F9F7,0.143986014,#615E56,0.04034965,#AC2B17,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1948648367.jpg,https://movie.douban.com/subject/1292699/
43,空中监狱,8.1,"动作
",犯罪,14,85,88,0.334475524,#E04F21,0.24951049,#0F0A09,0.201398601,#452621,0.15006993,#872617,0.064545455,#B8ABA7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1185211399.jpg,https://movie.douban.com/subject/1300618/
44,绿里奇迹,8.7,"剧情
",奇幻,15,26,12,0.465944056,#1F1917,0.211818182,#AA7243,0.159230769,#5E2E25,0.103846154,#61554C,0.059160839,#BAB29F,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg,https://movie.douban.com/subject/1300374/
45,指环王2：双塔奇兵,9,"奇幻
",动作,15,36,5,0.321958042,#0D0A08,0.176783217,#413223,0.174265734,#B59F74,0.17027972,#756245,0.156713287,#E4D7B7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,https://movie.douban.com/subject/1291572/
46,养家之人,8.3,动画,剧情,15,76,44,0.264755245,#71301B,0.258601399,#553E2A,0.254895105,#251A17,0.196573427,#B36F3C,0.025174825,#BAB4A8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2515184536.jpg,https://movie.douban.com/subject/26346327/
47,幸福终点站,8.7,爱情,喜剧,16,6,86,0.265734266,#DCD2CE,0.195244755,#E4DBD9,0.183496503,#E9E2E0,0.181188811,#EAE3E1,0.174335664,#EAE3E1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792263736.jpg,https://movie.douban.com/subject/1292274/
48,我，花样女王,8,"传记
",喜剧,16,7,88,0.512377622,#E0D6D2,0.192517483,#AF9497,0.122027972,#4E3C37,0.109160839,#A97D62,0.063916084,#D14373,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508862676.jpg,https://movie.douban.com/subject/26756049/
49,勇闯夺命岛,8.5,"动作
",冒险,16,67,19,0.345734266,#301910,0.183216783,#6B2310,0.158461538,#EAD782,0.157482517,#8F7D67,0.155104895,#D26913,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p636048104.jpg,https://movie.douban.com/subject/1292728/
50,功夫熊猫,7.9,动画,喜剧,16,67,45,0.262447552,#743B27,0.257622378,#251914,0.22027972,#CC874A,0.194055944,#C13A24,0.065594406,#D3C4B1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1597238857.jpg,https://movie.douban.com/subject/1783457/
51,战马,8,"战争
",剧情,16,74,11,0.289090909,#1D0E08,0.238811189,#543529,0.204895105,#A0613E,0.141958042,#B5A69D,0.125244755,#E2BE7B,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1248524406.jpg,https://movie.douban.com/subject/4206436/
52,伯德小姐,7.9,"家庭
",剧情,17,3,84,0.375104895,#D7D3D1,0.196573427,#B98365,0.180699301,#7F3B2D,0.165384615,#371A16,0.082237762,#695E5C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505925363.jpg,https://movie.douban.com/subject/26588314/
53,是，大臣 1984圣诞特辑,9.8,喜剧,,17,5,88,0.448321678,#E1D9D6,0.21951049,#A9A2A6,0.124965035,#603D35,0.114615385,#BD997B,0.092587413,#3D3565,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2397258764.jpg,https://movie.douban.com/subject/26725031/
54,穆赫兰道,8.3,"悬疑
",惊悚,17,54,6,0.459370629,#0E0906,0.198951049,#CB6B3C,0.156153846,#6A3526,0.110629371,#EFBF88,0.074895105,#59564F,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792248233.jpg,https://movie.douban.com/subject/1292217/
55,音乐之声,8.9,爱情,歌舞,19,13,88,0.495734266,#E0CCC3,0.171468531,#523E25,0.150629371,#94816C,0.106573427,#CD9567,0.075594406,#A53221,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,https://movie.douban.com/subject/1294408/
56,彗星来的那一夜,8.4,"科幻
",悬疑,20,46,21,0.327692308,#35251D,0.231048951,#635345,0.211818182,#4C3F21,0.192307692,#96866D,0.037132867,#A02C24,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2187896711.jpg,https://movie.douban.com/subject/25807345/
57,美食总动员,8.2,动画,喜剧,20,58,46,0.328601399,#754731,0.269090909,#B8998A,0.156153846,#2B1410,0.126503497,#646496,0.11965035,#D7814B,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465604496.jpg,https://movie.douban.com/subject/1793491/
58,碟中谍4,8.2,"动作
",冒险,20,70,29,0.292377622,#4B2817,0.26979021,#21120B,0.178601399,#874C2A,0.131538462,#F1DFA7,0.127692308,#D6AF66,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1382432968.jpg,https://movie.douban.com/subject/3068206/
59,与狼共舞,8.9,"西部
",剧情,21,3,93,0.31048951,#ECE9E6,0.228531469,#201521,0.200699301,#BFAAA8,0.151048951,#5E5C7F,0.109230769,#8F524C,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p499158228.jpg,https://movie.douban.com/subject/1293764/
60,蒂凡尼的早餐,8.1,爱情,喜剧,21,3,94,0.354965035,#F0EBE9,0.278181818,#D34F69,0.146013986,#BB979E,0.112237762,#DEB283,0.108601399,#452225,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1114467603.jpg,https://movie.douban.com/subject/1325958/
61,老无所依,8.1,"犯罪
",剧情,21,22,7,0.394615385,#110F0D,0.245384615,#37332F,0.14951049,#9C8369,0.138461538,#665A51,0.072027972,#CFC4B0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1602287352.jpg,https://movie.douban.com/subject/1857099/
62,勇敢的心,8.8,"战争
",历史,21,23,61,0.353006993,#9C8578,0.306853147,#2E1F1B,0.156223776,#C16A2B,0.128041958,#652F20,0.055874126,#EDBC37,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,https://movie.douban.com/subject/1294639/
63,落水狗,8.3,"犯罪
",惊悚,21,27,6,0.347692308,#100D0C,0.276013986,#B27640,0.137762238,#E7B57D,0.135104895,#51392D,0.103426573,#D62D24,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p449528372.jpg,https://movie.douban.com/subject/1299603/
64,星球大战2：帝国反击战,8.2,"科幻
",动作,21,29,14,0.273426573,#231C19,0.247832168,#626EA0,0.224825175,#A19CBC,0.167972028,#624B54,0.085944056,#F3F1F3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p732937546.jpg,https://movie.douban.com/subject/1296528/
65,时空恋旅人,8.6,爱情,剧情,21,31,81,0.34020979,#CEA58E,0.219300699,#794A38,0.194195804,#1F1818,0.140699301,#A72C37,0.105594406,#B2C074,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,https://movie.douban.com/subject/10577869/
66,时时刻刻,8.5,"剧情
",传记,21,32,13,0.291188811,#211A16,0.220559441,#52463E,0.20020979,#DCC9B6,0.153216783,#9B8473,0.134825175,#F9F8F3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075882067.jpg,https://movie.douban.com/subject/1305666/
67,加勒比海盗,8.6,"奇幻
",动作,21,33,9,0.338741259,#171210,0.309370629,#3F2F27,0.173706294,#6E4937,0.095874126,#A4835F,0.082307692,#BA6D3D,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,https://movie.douban.com/subject/1298070/
68,血钻,8.5,"剧情
",惊悚,21,37,9,0.288391608,#16110E,0.22979021,#ECF0ED,0.217482517,#483A2E,0.143916084,#ADA494,0.12041958,#A0794E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg,https://movie.douban.com/subject/1428175/
69,火星救援,8.4,"科幻
",冒险,21,74,66,0.380909091,#A8562C,0.241468531,#C68543,0.197762238,#773620,0.118951049,#451F14,0.060909091,#CDB597,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2280097442.jpg,https://movie.douban.com/subject/25864085/
70,当哈利遇到莎莉,8.2,爱情,喜剧,21,83,74,0.270769231,#BE5820,0.26972028,#763F21,0.241328671,#271812,0.134895105,#D09E4F,0.083286713,#DFCDAE,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2172960925.jpg,https://movie.douban.com/subject/1291842/
71,我是传奇,7.9,"科幻
",剧情,22,57,4,0.34979021,#090604,0.180769231,#BB8D4B,0.175734266,#3C2D20,0.156643357,#78502B,0.137062937,#E0D1A9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p574158935.jpg,https://movie.douban.com/subject/1820156/
72,异次元骇客,8.3,"科幻
",悬疑,23,2,16,0.651048951,#282727,0.118881119,#2C402C,0.09979021,#63564B,0.070629371,#376230,0.05965035,#B89D6A,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1932438619.jpg,https://movie.douban.com/subject/1300282/
73,阿黛尔的生活,8.3,"同性
",爱情,23,7,83,0.395524476,#D3C9C3,0.244195804,#EFF1F2,0.218881119,#9A8E87,0.096783217,#332E2B,0.044615385,#4C97BD,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2162563238.jpg,https://movie.douban.com/subject/10535568/
74,浪潮,8.7,"剧情
",惊悚,23,15,6,0.352377622,#100F0E,0.224685315,#EEEDEC,0.21048951,#474441,0.183846154,#9C9894,0.028601399,#AF3730,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.jpg,https://movie.douban.com/subject/2297265/
75,海盗电台,8.6,"音乐
",喜剧,23,18,84,0.312097902,#D6BFB0,0.308951049,#1A1213,0.238811189,#796154,0.108671329,#B83835,0.031468531,#DEA43D,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p769608791.jpg,https://movie.douban.com/subject/3007773/
76,斯图尔特：倒带人生,8.7,"剧情
",,23,20,68,0.32951049,#AC978A,0.228741259,#2C1D1C,0.201118881,#675149,0.122517483,#E6E0DC,0.118111888,#A0523A,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2523857125.jpg,https://movie.douban.com/subject/2133337/
77,莫里斯,8.8,"同性
",爱情,23,26,37,0.281258741,#5F5047,0.263916084,#312E30,0.172097902,#8E7053,0.149230769,#DDE0D2,0.133496503,#B8B597,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455549510.jpg,https://movie.douban.com/subject/1293456/
78,完美陌生人,8.6,"剧情
",喜剧,23,43,10,0.306363636,#1B140F,0.281118881,#584B43,0.235384615,#322923,0.152797203,#9C8E84,0.024335664,#731916,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg,https://movie.douban.com/subject/26614893/
79,刺猬的优雅,8.8,"剧情
",,24,32,54,0.256013986,#8A6F5D,0.213076923,#F6F4F0,0.201818182,#BDADA5,0.173216783,#5C402C,0.155874126,#1E1816,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p489369851.jpg,https://movie.douban.com/subject/3824274/
80,角斗士,8.4,"动作
",历史,24,48,3,0.41020979,#090604,0.306013986,#D7D0B2,0.127552448,#2A2520,0.093986014,#A5904A,0.062237762,#5B4B26,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1601948450.jpg,https://movie.douban.com/subject/1293530/
81,玉女风流,8.9,"喜剧
",,24,72,87,0.546923077,#DD7E3E,0.198951049,#F7FBF3,0.12041958,#3D3021,0.091748252,#A0582E,0.041958042,#D7BB9D,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1082838488.jpg,https://movie.douban.com/subject/1298241/
82,极品基老伴：完结篇,9.3,"同性
",喜剧,24,82,58,0.346643357,#944A1B,0.187202797,#B5937E,0.173986014,#152225,0.15951049,#614F49,0.132657343,#D9CEC6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509440210.jpg,https://movie.douban.com/subject/26700818/
83,艺术家,8.4,爱情,剧情,25,4,10,0.238111888,#1A1A19,0.207062937,#131212,0.191188811,#0D0D0D,0.182167832,#0D0C0C,0.181468531,#0D0D0C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1341284796.jpg,https://movie.douban.com/subject/6097775/
84,恐袭波士顿,8.2,"剧情
",历史,25,4,84,0.336643357,#D6D2CE,0.228671329,#2C2B35,0.22034965,#AFACAB,0.134685315,#625E63,0.07965035,#A68377,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2502466029.jpg,https://movie.douban.com/subject/26357945/
85,土拨鼠之日,8.5,"喜剧
",爱情,25,42,80,0.258461538,#CC9A76,0.254265734,#7A5E4C,0.168601399,#221B17,0.167902098,#E1DBD2,0.150769231,#74AFCE,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2493191199.jpg,https://movie.douban.com/subject/1300613/
86,单身男子,8.5,"同性
",剧情,25,68,22,0.295804196,#382212,0.283566434,#663E21,0.185804196,#AD591B,0.184615385,#E1AC52,0.05020979,#D7C7B0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p468904919.jpg,https://movie.douban.com/subject/3275168/
87,美丽人生,9.5,"战争
",爱情,26,1,78,0.372097902,#C7C6C6,0.222307692,#242223,0.198951049,#8A898A,0.166643357,#53504F,0.04,#8B7451,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,https://movie.douban.com/subject/1292063/
88,一天,7.8,爱情,剧情,26,20,92,0.418391608,#EBD0BC,0.18,#213564,0.155594406,#AEABB3,0.131538462,#204F8B,0.114475524,#677D9F,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1103205323.jpg,https://movie.douban.com/subject/4191644/
89,天堂电影院,9.1,"剧情
",爱情,26,30,79,0.250559441,#CAA88E,0.227902098,#6B84AF,0.197972028,#C4CAD2,0.197342657,#B17448,0.126223776,#5C403C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg,https://movie.douban.com/subject/1291828/
90,勇士,8.9,"剧情
",家庭,26,39,3,0.511888112,#070604,0.168741259,#2A231C,0.12020979,#C3AA92,0.105524476,#88715B,0.093636364,#524335,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1145536386.jpg,https://movie.douban.com/subject/3217169/
91,卡罗尔,8.2,"同性
",爱情,26,57,76,0.269090909,#C18253,0.224685315,#12291F,0.221188811,#885E3A,0.156433566,#E1B074,0.128601399,#4E442C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2312679154.jpg,https://movie.douban.com/subject/10757577/
92,寻梦环游记,9.1,动画,音乐,26,82,91,0.332587413,#E87E2A,0.29,#372472,0.16979021,#684975,0.133776224,#A64739,0.073846154,#C0A298,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg,https://movie.douban.com/subject/20495023/
93,隐藏人物,8.6,"传记
",历史,27,6,88,0.263426573,#E1DAD4,0.222587413,#5B5D69,0.208601399,#292E48,0.154055944,#A2B6CB,0.151328671,#8D898C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2408791085.jpg,https://movie.douban.com/subject/26615208/
94,黑鹰坠落,8.5,"战争
",动作,27,44,10,0.297412587,#1B140F,0.197272727,#E1BB4C,0.192867133,#E7E4CB,0.16013986,#663B21,0.152307692,#BF601E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910900710.jpg,https://movie.douban.com/subject/1291824/
95,遗愿清单,8.5,"喜剧
",冒险,27,51,59,0.298251748,#966C4A,0.242867133,#453428,0.198461538,#66839B,0.162517483,#B1BFC0,0.097902098,#E8D398,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p708613284.jpg,https://movie.douban.com/subject/1867345/
